grouping,group,year,model,n,councils,financial_years,MAE,median_AE,q25_AE,q75_AE,p90_AE,RMSE,bias,mean_AE_difference_vs_persistence,median_AE_difference_vs_persistence
mapped_fire_group,verified scoped mapped zero,pooled,tree_change,239,111,3,6.990931544044289,6.327956989247314,2.3175384615384598,10.144652078624752,14.831945454545455,8.95731880633612,-3.3148900963935803,0.23879765283090035,0.21772727272727277
mapped_fire_group,verified scoped mapped zero,pooled,ridge_change,239,111,3,7.186218307124103,6.114197806331662,2.7987263869428993,10.398413993432769,14.224830506354767,9.286150527273675,-3.99950996718454,0.4340844159107135,0.5502803434492076
mapped_fire_group,verified scoped mapped zero,2021,persistence,93,93,1,6.277849462365592,4.65,2.02,8.74,13.955999999999992,8.41745025629521,-0.7965591397849466,0.0,0.0
mapped_fire_group,verified scoped mapped zero,2021,tree_level,93,93,1,6.373363278171789,5.287234042553192,2.0333333333333323,9.512765957446808,13.737999999999998,8.333225818606381,-2.732185922367117,0.09551381580619767,0.0572340425531912
mapped_fire_group,verified scoped mapped zero,2021,ridge_level,93,93,1,6.03769177478437,5.165024080115912,2.3502148504314526,8.412863001247075,12.479006486386204,7.755047715426626,-2.10955606261037,-0.240157687581223,0.042577875785252406
mapped_fire_group,verified scoped mapped zero,2021,tree_change,93,93,1,6.356932697089744,5.911999999999999,2.4354999999999993,8.952,14.661499999999997,8.206715325738703,-1.8707815739250375,0.07908323472415146,0.11199999999999832
mapped_fire_group,verified scoped mapped zero,2021,ridge_change,93,93,1,6.7533150266924675,5.409818412785615,2.281004635257581,9.880679941579027,13.175986899216875,9.413409834186428,-3.637071474672305,0.4754655643268774,0.5502803434492076
mapped_fire_group,verified scoped mapped zero,2022,persistence,89,89,1,7.95932584269663,6.369999999999999,3.4099999999999997,11.780000000000001,15.884000000000006,10.032900596638166,-5.269213483146067,0.0,0.0
mapped_fire_group,verified scoped mapped zero,2022,tree_level,89,89,1,8.647982270661492,8.625,3.713448275862068,12.608846153846153,15.097415094339622,10.314497946471935,-7.101062752077312,0.6886564279648612,1.0749999999999993
mapped_fire_group,verified scoped mapped zero,2022,ridge_level,89,89,1,8.450050440099302,7.888023182028682,3.761576631411523,12.05238654168701,15.637803241351127,10.284807401644308,-5.822021560786285,0.4907245974026748,-0.0673276365554436
mapped_fire_group,verified scoped mapped zero,2022,tree_change,89,89,1,8.561106144322505,7.8716,2.9620430107526867,12.2935,15.827980327868854,10.537465124502084,-6.4835429359849615,0.6017803016258758,1.9259016393442616
mapped_fire_group,verified scoped mapped zero,2022,ridge_change,89,89,1,8.438876313739131,8.145040125959339,4.179837716522249,12.110028574904405,15.86847319425819,10.180754214074451,-5.939829328938082,0.47955047104250376,0.12368560050819077
mapped_fire_group,verified scoped mapped zero,2023,persistence,57,57,1,5.641052631578947,3.870000000000001,2.49,7.940000000000001,10.588,7.680521044094075,0.044912280701754334,0.0,0.0
mapped_fire_group,verified scoped mapped zero,2023,tree_level,57,57,1,5.595991262987189,4.795833333333333,2.5158333333333336,8.088907563025206,10.97679908326967,7.072722884417108,-0.7219927015211369,-0.045061368591757814,-0.07600000000000229
mapped_fire_group,verified scoped mapped zero,2023,ridge_level,57,57,1,5.859966966963661,5.1956838511970975,2.2047574296446046,8.367052308116545,10.507066976998468,7.3091243431988335,-1.2539345675874363,0.21891433538471328,0.3093422991280015
mapped_fire_group,verified scoped mapped zero,2023,tree_change,57,57,1,5.5736745851322125,4.242738853503184,1.9872611464968162,8.398289473684208,11.83540804140127,7.2907743162497605,-0.7235214975504465,-0.0673780464467343,-0.5880000000000027
mapped_fire_group,verified scoped mapped zero,2023,ridge_change,57,57,1,5.936629578903124,5.147963921661876,2.1532545004436328,8.71262727280518,11.381241529976796,7.426832105042406,-1.561235521703361,0.2955769473241766,0.7494420892296523
flood_group,flood declaration,pooled,persistence,264,117,3,7.162575757575757,5.535,2.52,10.835,15.307000000000007,9.264828164034718,-2.3680303030303027,0.0,0.0
flood_group,flood declaration,pooled,tree_level,264,117,3,7.63328110450777,6.698233571893297,2.7803148148148145,11.72475,15.323988993710694,9.462294837671118,-4.19609114988057,0.4707053469320123,0.8085094339622629
flood_group,flood declaration,pooled,ridge_level,264,117,3,7.319082487356504,5.857017972684485,2.7473345298477554,10.528551289321031,15.515523109820574,9.27297946906936,-3.5486210797445983,0.15650672978074553,0.07602870219913327
flood_group,flood declaration,pooled,tree_change,264,117,3,7.41364999524775,5.999223684210527,2.78158552631579,10.803437019969277,16.189181147540996,9.433446704583348,-3.9404743251840446,0.2510742376719928,0.21772727272727277
flood_group,flood declaration,pooled,ridge_change,264,117,3,7.351318696121162,6.151828617265105,3.0820297429669035,10.918438367482025,15.24170801585027,9.218530327196532,-3.731220724004772,0.18874293854540253,0.20885369590127834
flood_group,flood declaration,2021,persistence,82,82,1,6.16170731707317,4.6499999999999995,1.755,8.8225,11.597,8.403727686234856,-1.795121951219512,0.0,0.0
flood_group,flood declaration,2021,tree_level,82,82,1,6.952921928155451,5.569382978723404,2.4972596532702913,11.342092198581561,14.512323404255325,8.827078642039664,-4.213063964327587,0.7912146110822815,1.363246650906226
flood_group,flood declaration,2021,ridge_level,82,82,1,6.420888554242745,5.147716747705184,2.616101380117287,8.709833419192702,14.083860923198937,8.293337475629983,-3.6374738048689332,0.25918123716957214,0.2616108336334564
