year_start,financial_year,variable,councils,positive,zero,unknown,provenance
2017,2017-18,bushfire_declared,103,23,80,0,frozen_NSW_Data_Panel_v1_exposure
2017,2017-18,flood_declared,103,3,100,0,frozen_NSW_Data_Panel_v1_exposure
2017,2017-18,all_declared,103,29,74,0,frozen_NSW_Data_Panel_v1_exposure
2017,2017-18,bushfire_declared_event_count,103,23,80,0,frozen_NSW_Data_Panel_v1_exposure
2017,2017-18,flood_declared_event_count,103,3,100,0,frozen_NSW_Data_Panel_v1_exposure
2017,2017-18,flood_inundated_ha,103,0,0,103,frozen_NSW_Data_Panel_v1_exposure
2018,2018-19,fesm_burned_ha,103,39,64,0,frozen_NSW_Data_Panel_v1_exposure
2018,2018-19,bushfire_declared,103,18,85,0,frozen_NSW_Data_Panel_v1_exposure
2018,2018-19,flood_declared,103,33,70,0,frozen_NSW_Data_Panel_v1_exposure
2018,2018-19,all_declared,103,48,55,0,frozen_NSW_Data_Panel_v1_exposure
2018,2018-19,bushfire_declared_event_count,103,18,85,0,frozen_NSW_Data_Panel_v1_exposure
2018,2018-19,flood_declared_event_count,103,33,70,0,frozen_NSW_Data_Panel_v1_exposure
2018,2018-19,flood_inundated_ha,103,0,0,103,frozen_NSW_Data_Panel_v1_exposure
2019,2019-20,fesm_burned_ha,103,50,53,0,frozen_NSW_Data_Panel_v1_exposure
2019,2019-20,bushfire_declared,103,42,61,0,frozen_NSW_Data_Panel_v1_exposure
2019,2019-20,flood_declared,103,73,30,0,frozen_NSW_Data_Panel_v1_exposure
2019,2019-20,all_declared,103,80,23,0,frozen_NSW_Data_Panel_v1_exposure
2019,2019-20,bushfire_declared_event_count,103,42,61,0,frozen_NSW_Data_Panel_v1_exposure
2019,2019-20,flood_declared_event_count,103,73,30,0,frozen_NSW_Data_Panel_v1_exposure
2019,2019-20,flood_inundated_ha,103,0,0,103,frozen_NSW_Data_Panel_v1_exposure
2020,2020-21,fesm_burned_ha,103,24,79,0,frozen_NSW_Data_Panel_v1_exposure
2020,2020-21,bushfire_declared,103,0,103,0,frozen_NSW_Data_Panel_v1_exposure
2020,2020-21,flood_declared,103,68,35,0,frozen_NSW_Data_Panel_v1_exposure
2020,2020-21,all_declared,103,69,34,0,frozen_NSW_Data_Panel_v1_exposure
2020,2020-21,bushfire_declared_event_count,103,0,103,0,frozen_NSW_Data_Panel_v1_exposure
2020,2020-21,flood_declared_event_count,103,68,35,0,frozen_NSW_Data_Panel_v1_exposure
2020,2020-21,flood_inundated_ha,103,0,0,103,frozen_NSW_Data_Panel_v1_exposure
2021,2021-22,fesm_burned_ha,103,29,74,0,frozen_NSW_Data_Panel_v1_exposure
2021,2021-22,bushfire_declared,103,0,103,0,frozen_NSW_Data_Panel_v1_exposure
2021,2021-22,flood_declared,103,91,12,0,frozen_NSW_Data_Panel_v1_exposure
2021,2021-22,all_declared,103,91,12,0,frozen_NSW_Data_Panel_v1_exposure
2021,2021-22,bushfire_declared_event_count,103,0,103,0,frozen_NSW_Data_Panel_v1_exposure
2021,2021-22,flood_declared_event_count,103,91,12,0,frozen_NSW_Data_Panel_v1_exposure
2021,2021-22,flood_inundated_ha,103,0,0,103,frozen_NSW_Data_Panel_v1_exposure
2022,2022-23,fesm_burned_ha,103,56,47,0,frozen_NSW_Data_Panel_v1_exposure
2022,2022-23,bushfire_declared,103,17,86,0,frozen_NSW_Data_Panel_v1_exposure
2022,2022-23,flood_declared,103,63,40,0,frozen_NSW_Data_Panel_v1_exposure
2022,2022-23,all_declared,103,63,40,0,frozen_NSW_Data_Panel_v1_exposure
2022,2022-23,bushfire_declared_event_count,103,17,86,0,frozen_NSW_Data_Panel_v1_exposure
2022,2022-23,flood_declared_event_count,103,63,40,0,frozen_NSW_Data_Panel_v1_exposure
2022,2022-23,flood_inundated_ha,103,0,0,103,frozen_NSW_Data_Panel_v1_exposure
2023,2023-24,fesm_burned_ha,103,62,41,0,frozen_NSW_Data_Panel_v1_exposure
2023,2023-24,bushfire_declared,103,23,80,0,frozen_NSW_Data_Panel_v1_exposure
2023,2023-24,flood_declared,103,33,70,0,frozen_NSW_Data_Panel_v1_exposure
2023,2023-24,all_declared,103,48,55,0,frozen_NSW_Data_Panel_v1_exposure
2023,2023-24,bushfire_declared_event_count,103,23,80,0,frozen_NSW_Data_Panel_v1_exposure
2023,2023-24,flood_declared_event_count,103,33,70,0,frozen_NSW_Data_Panel_v1_exposure
2023,2023-24,flood_inundated_ha,103,0,0,103,frozen_NSW_Data_Panel_v1_exposure
2024,2024-25,fesm_burned_ha,103,0,0,103,frozen_NSW_Data_Panel_v1_exposure
2024,2024-25,bushfire_declared,103,15,88,0,frozen_NSW_Data_Panel_v1_exposure
2024,2024-25,flood_declared,103,34,69,0,frozen_NSW_Data_Panel_v1_exposure
2024,2024-25,all_declared,103,57,46,0,frozen_NSW_Data_Panel_v1_exposure
2024,2024-25,bushfire_declared_event_count,103,15,88,0,frozen_NSW_Data_Panel_v1_exposure
2024,2024-25,flood_declared_event_count,103,34,69,0,frozen_NSW_Data_Panel_v1_exposure
2024,2024-25,flood_inundated_ha,103,0,0,103,frozen_NSW_Data_Panel_v1_exposure
