target,test_year,split,model,n,training_years,MAE,RMSE,R2
cash_cover_months,2023,train,mean_change,368,2019|2020|2021,3.410003604974008,4.861439770403776,0.5956949756745954
cash_cover_months,2023,train,full_level_tree,368,2019|2020|2021,3.49518068751139,4.6656405088937465,0.6276066942644969
cash_cover_months,2023,train,fiscal_only_tree,368,2019|2020|2021,3.4951806875113904,4.6656405088937465,0.6276066942644969
cash_cover_months,2023,train,change_tree,368,2019|2020|2021,3.3041737566600067,4.476928354494217,0.6571220099202907
cash_cover_months,2023,test,persistence,124,2019|2020|2021,3.786871774193548,5.315335869102813,0.49719894375543694
cash_cover_months,2023,test,training_mean,124,2019|2020|2021,5.539485146388499,7.527886076315009,-0.00851144933361847
cash_cover_months,2023,test,mean_change,124,2019|2020|2021,3.8905551805750354,5.372566095320469,0.486313336004229
cash_cover_months,2023,test,full_level_tree,124,2019|2020|2021,4.3756914563707126,5.961775018098652,0.36746301726944
cash_cover_months,2023,test,fiscal_only_tree,124,2019|2020|2021,4.3756914563707126,5.961775018098652,0.36746301726943986
cash_cover_months,2023,test,change_tree,124,2019|2020|2021,4.035702716987314,5.417050288504099,0.4777715934263689
maintenance_ratio_pct,2021,train,persistence,119,2019,19.65422251443117,49.22490494430421,-0.08791625852899054
maintenance_ratio_pct,2021,train,training_mean,119,2019,19.109270896603427,47.19403959612024,0.0
maintenance_ratio_pct,2021,train,mean_change,119,2019,20.061416782826004,48.99340748887292,-0.07770770090766232
maintenance_ratio_pct,2021,train,full_level_tree,119,2019,18.666980187183206,44.680918689972174,0.10366597406221534
maintenance_ratio_pct,2021,train,fiscal_only_tree,119,2019,18.666980187183196,44.680918689972174,0.10366597406221534
maintenance_ratio_pct,2021,train,change_tree,119,2019,20.136646444470422,46.553832392846424,0.026946829189623767
maintenance_ratio_pct,2021,test,persistence,122,2019,23.385954033946543,51.782976825578416,-2.735553363178975
maintenance_ratio_pct,2021,test,training_mean,122,2019,20.460808909582752,26.843702974826314,-0.003842938633121129
maintenance_ratio_pct,2021,test,mean_change,122,2019,24.309252298890893,52.1509514882858,-2.7888323769468992
maintenance_ratio_pct,2021,test,full_level_tree,122,2019,19.4536869719581,26.341859992689944,0.0333398993976024
maintenance_ratio_pct,2021,test,fiscal_only_tree,122,2019,19.4536869719581,26.341859992689944,0.0333398993976024
maintenance_ratio_pct,2021,test,change_tree,122,2019,26.923379115890892,54.57942621761792,-3.1499116453639546
maintenance_ratio_pct,2022,train,persistence,239,2019|2020,18.61205037224688,42.34570950174199,-0.3590191010795849
maintenance_ratio_pct,2022,train,training_mean,239,2019|2020,16.353622240824308,36.32424811241875,0.0
maintenance_ratio_pct,2022,train,mean_change,239,2019|2020,18.597974323975144,42.340433754988034,-0.35868048854673873
maintenance_ratio_pct,2022,train,full_level_tree,239,2019|2020,14.817908371984915,33.470395509392944,0.15095947120172504
maintenance_ratio_pct,2022,train,fiscal_only_tree,239,2019|2020,14.817908371984911,33.470395509392944,0.15095947120172504
maintenance_ratio_pct,2022,train,change_tree,239,2019|2020,18.021326139387156,37.75868576269247,-0.08053906474593675
maintenance_ratio_pct,2022,test,persistence,120,2019|2020,21.067458450461512,32.59358846820423,0.11418436262204557
maintenance_ratio_pct,2022,test,training_mean,120,2019|2020,23.132492056048672,35.03693253721532,-0.023602035811770117
maintenance_ratio_pct,2022,test,mean_change,120,2019|2020,20.972387548191072,32.44928925123627,0.1220104142612537
maintenance_ratio_pct,2022,test,full_level_tree,120,2019|2020,21.51393965032245,32.67259861817012,0.10988454421288785
maintenance_ratio_pct,2022,test,fiscal_only_tree,120,2019|2020,21.513939650322452,32.67259861817012,0.10988454421288762
maintenance_ratio_pct,2022,test,change_tree,120,2019|2020,22.57828813466349,32.84915269493062,0.1002386557823246
maintenance_ratio_pct,2023,train,persistence,361,2019|2020|2021,20.225391775923775,45.75331857858648,-0.8755403266198978
maintenance_ratio_pct,2023,train,training_mean,361,2019|2020|2021,17.5452218388512,33.408686141044384,0.0
maintenance_ratio_pct,2023,train,mean_change,361,2019|2020|2021,20.236188415113194,45.753193419934675,-0.8755300655160083
maintenance_ratio_pct,2023,train,full_level_tree,361,2019|2020|2021,16.05860904293702,31.146204157680216,0.13085655537518492
maintenance_ratio_pct,2023,train,fiscal_only_tree,361,2019|2020|2021,16.05860904293702,31.146204157680216,0.13085655537518492
maintenance_ratio_pct,2023,train,change_tree,361,2019|2020|2021,19.202321381584984,40.07431264831897,-0.4388428769397905
maintenance_ratio_pct,2023,test,persistence,122,2019|2020|2021,21.010704084717272,30.258038203109702,0.1522243014194452
maintenance_ratio_pct,2023,test,training_mean,122,2019|2020|2021,22.07221764219548,33.048263556803086,-0.011338919384079604
maintenance_ratio_pct,2023,test,mean_change,122,2019|2020|2021,21.031756787048263,30.27014206543771,0.15154590894379705
