source_id,url,council_key,kind,retrieved_at_utc,http_status,resolved_url,last_modified_header,local_file,sha256,status,pages,publication_date_verified,http_last_modified_is_publication_date,review_channel
richmond_plan2022,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/06/Operational-Plan-2021-2022-including-Financial-Estimates-2021-2025-Adopted-by-Council-22-June-2021-1.pdf,richmondvalley,2021/2022 Operational Plan (including Financial Estimates 2021/2025),2026-09-19T00:32:49.599206+00:00,200,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/06/Operational-Plan-2021-2022-including-Financial-Estimates-2021-2025-Adopted-by-Council-22-June-2021-1.pdf,"Mon, 05 Jul 2021 00:38:23 GMT",sources/richmond_plan2022.pdf,81c1649178465a2e7d328bc2d538c04b3b71584af800566972f93c6f6e57529f,retrieved,72.0,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
richmond_plan2021,https://richmondvalley.nsw.gov.au/wp-content/uploads/2020/10/Operational-Plan-2020-2021-including-Financial-Estimates-2020-2024-Adopted-by-Council-23-June-2020-1.pdf,richmondvalley,2020/2021 Operational Plan (including Financial Estimates 2020/2024),2026-09-19T00:32:50.123679+00:00,200,https://richmondvalley.nsw.gov.au/wp-content/uploads/2020/10/Operational-Plan-2020-2021-including-Financial-Estimates-2020-2024-Adopted-by-Council-23-June-2020-1.pdf,"Sun, 25 Oct 2020 21:32:39 GMT",sources/richmond_plan2021.pdf,e7f25f104bd622e821046d653a0de37e8c5c7919fe7c623be9699d530a1ec998,retrieved,75.0,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
richmond_plan2023,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/06/Operational-Plan-including-Financial-Estimates-2022-2026-presented-to-Council-28-June-2022_1.pdf,richmondvalley,2022/2023 Operational Plan (including Financial Estimates 2022/2026,2026-09-19T00:32:51.387833+00:00,200,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/06/Operational-Plan-including-Financial-Estimates-2022-2026-presented-to-Council-28-June-2022_1.pdf,"Thu, 30 Jun 2022 01:27:01 GMT",sources/richmond_plan2023.pdf,a3a52a45af0443e4ea5b8ccb739a5268967242630f85429ae69a71ba861a614f,retrieved,98.0,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
richmond_fs2022,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Annual_Financial_Statements-2022.pdf,richmondvalley,2021/2022 Financial Statements,2026-09-19T00:32:52.379386+00:00,200,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Annual_Financial_Statements-2022.pdf,"Wed, 23 Nov 2022 04:01:33 GMT",sources/richmond_fs2022.pdf,6f8c9911f2fb8b199fcdb8fbf7b8a1b9e18e798a16bc182c05ac81834e7b52c1,retrieved,128.0,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
lismore_plan2022_index,https://yoursay.lismore.nsw.gov.au/2021-22-operational-plan-and-budget/widgets/337480/documents,lismore,draft budget document index,2026-09-19T00:34:01.957623+00:00,200,https://yoursay.lismore.nsw.gov.au/2021-22-operational-plan-and-budget/widgets/337480/documents,,sources/lismore_plan2022_index.html,2d65810dfa5de9c083ab0857f2b75ab9b5f273ed336bd74e3d619cef7830bb27,retrieved,,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
wagga_ar2022,https://wagga.nsw.gov.au/imagesfiles/documents/the-council/planning-and-reporting/annual-reports/WWCC_AnnualReport_2021_22_WEB.pdf,waggawagga,comparison annual report,2026-09-19T00:34:01.957910+00:00,403,https://wagga.nsw.gov.au/imagesfiles/documents/the-council/planning-and-reporting/annual-reports/WWCC_AnnualReport_2021_22_WEB.pdf,,sources/wagga_ar2022.html,6c4de898c7504f33b643bcdb3b7290e3a420874945d3fe381bb0f1b37d8cc064,http_error,,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
wagga_performance2022,https://wagga.nsw.gov.au/__data/assets/pdf_file/0008/215819/Operational-Performance-Report-2021.22.pdf,waggawagga,comparison budget performance,2026-09-19T00:34:01.958003+00:00,403,https://wagga.nsw.gov.au/__data/assets/pdf_file/0008/215819/Operational-Performance-Report-2021.22.pdf,,sources/wagga_performance2022.html,199f365aec51ce9fff6146dd8132df5b8ae46feaf51f69275b4bf0e187538f49,http_error,,unknown unless an evidence row supplies a document/adoption date,False,official PDF text indexed by web; direct download 403; no visual PDF verification
kiama_ar2020,https://www.kiama.nsw.gov.au/files/sharedassets/public/v/1/council/council-plans-amp-reports/annual-report-2019-2020.pdf,kiama,comparison annual report,2026-09-19T00:34:01.958080+00:00,200,https://www.kiama.nsw.gov.au/files/sharedassets/public/v/1/council/council-plans-amp-reports/annual-report-2019-2020.pdf,,sources/kiama_ar2020.pdf,eabac8ffe931b08253bc438be29a21284e1d507cf360efb351687d95be9fdee3,retrieved,64.0,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
griffith_finance,https://www.griffith.nsw.gov.au/Council/Forms-and-documents/Finance-and-budget,griffith,comparison financial reports index,2026-09-19T00:34:01.958152+00:00,200,https://www.griffith.nsw.gov.au/Council/Forms-and-documents/Finance-and-budget,,sources/griffith_finance.html,459d0a2380340bc6eb88c57117a94d86274e186dfe495fe77faadc1188e741bd,retrieved,,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
euro_roadplan2019,https://www.esc.nsw.gov.au/__data/assets/pdf_file/0008/156608/Agenda-Public.pdf,eurobodalla,pre-disaster road maintenance schedule,2026-09-19T00:34:01.958255+00:00,403,https://www.esc.nsw.gov.au/__data/assets/pdf_file/0008/156608/Agenda-Public.pdf,,sources/euro_roadplan2019.html,c054ef233bff041ff582ea77e4006e599678e4213ca17340c2ef4b5e54f92524,http_error,,unknown unless an evidence row supplies a document/adoption date,False,official PDF text indexed by web; direct download 403; no visual PDF verification
lismore_draft2022,https://yoursay.lismore.nsw.gov.au/68830/widgets/337480/documents/202976,lismore,2021-22 draft budget,2026-09-19T00:34:52.740280+00:00,200,https://yoursay.lismore.nsw.gov.au/68830/widgets/337480/documents/202976,,sources/lismore_draft2022.html,49cbb6392da51db36e6012dab7fde2b51b2107a387b7879d7931f593916b0eaa,retrieved,,unknown unless an evidence row supplies a document/adoption date,False,HTML download landing page only; draft PDF not recovered
griffith_fs2020,https://www.griffith.nsw.gov.au/files/sharedassets/public/v/1/cm-documents/2019-2020-general-purpose-report.pdf,griffith,comparison audited statements,2026-09-19T00:34:52.740575+00:00,200,https://www.griffith.nsw.gov.au/files/sharedassets/public/v/1/cm-documents/2019-2020-general-purpose-report.pdf,"Wed, 27 Nov 2024 15:38:42 GMT",sources/griffith_fs2020.pdf,2a9bf9c1604d091792c2f6e6f111e3c617686bc2c828e33ef85579e1c5c7c710,retrieved,106.0,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
griffith_ss2020,https://www.griffith.nsw.gov.au/files/sharedassets/public/v/1/cm-documents/2019-2020-special-schedule.pdf,griffith,comparison asset maintenance schedule,2026-09-19T00:34:52.740670+00:00,200,https://www.griffith.nsw.gov.au/files/sharedassets/public/v/1/cm-documents/2019-2020-special-schedule.pdf,"Wed, 27 Nov 2024 15:39:09 GMT",sources/griffith_ss2020.pdf,73ebff8da9b79525dfdbbf6435d163ae5cd50bd47ba8ecf23d763abb6485ba56,retrieved,11.0,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
