target,history,test_year,test_fy,spec,model,n,train_n,ridge_alpha,MAE,RMSE,R2
operating_ratio_pct,long,2021,2021-22,baseline,persistence,103,614,,5.9650485436893215,7.910128200942119,0.2190634110066244
operating_ratio_pct,long,2021,2021-22,baseline,training_mean,103,614,,6.668644887890959,9.070840889024812,-0.02693705510743727
operating_ratio_pct,long,2021,2021-22,fiscal_only,ridge,103,614,100.0,5.901394120412645,7.820924499064121,0.23657757412751146
operating_ratio_pct,long,2021,2021-22,fiscal_only,tree,103,614,,6.3477285131021395,8.205891174279529,0.15957254224143647
operating_ratio_pct,long,2021,2021-22,fiscal_plus_fire,ridge,103,614,100.0,5.854864194129581,7.782866962004453,0.2439893033254178
operating_ratio_pct,long,2021,2021-22,fiscal_plus_fire,tree,103,614,,6.347728513102141,8.205891174279529,0.15957254224143647
operating_ratio_pct,long,2021,2021-22,fiscal_plus_disaster,ridge,103,614,100.0,6.046214756625404,7.922059385407608,0.21670579422649694
operating_ratio_pct,long,2021,2021-22,fiscal_plus_disaster,tree,103,614,,6.077066225088243,7.960702344610481,0.20904550576810843
operating_ratio_pct,long,2022,2022-23,baseline,persistence,101,716,,7.780396039603957,9.924407257158514,-0.10693830623779776
operating_ratio_pct,long,2022,2022-23,baseline,training_mean,101,716,,7.247027767022511,9.591452541370856,-0.033910690563759394
operating_ratio_pct,long,2022,2022-23,fiscal_only,ridge,101,716,100.0,7.724257480503728,9.721890801993487,-0.062223092921793954
operating_ratio_pct,long,2022,2022-23,fiscal_only,tree,101,716,,8.980729629681498,10.812598012005614,-0.3139364961323645
operating_ratio_pct,long,2022,2022-23,fiscal_plus_fire,ridge,101,716,100.0,7.696212190334778,9.695172054924036,-0.0563924843504533
operating_ratio_pct,long,2022,2022-23,fiscal_plus_fire,tree,101,716,,8.980729629681498,10.812598012005614,-0.3139364961323645
operating_ratio_pct,long,2022,2022-23,fiscal_plus_disaster,ridge,101,716,100.0,8.105586126816034,10.07524033068306,-0.1408409202588119
operating_ratio_pct,long,2022,2022-23,fiscal_plus_disaster,tree,101,716,,8.237471306129525,10.27315133658812,-0.18610089382450967
operating_ratio_pct,long,2023,2023-24,baseline,persistence,103,819,,6.436019417475728,8.209504259952286,0.3763596923408772
operating_ratio_pct,long,2023,2023-24,baseline,training_mean,103,819,,7.617549818035256,10.543924418210123,-0.028738231999650532
operating_ratio_pct,long,2023,2023-24,fiscal_only,ridge,103,819,100.0,6.360829181567215,8.475931938841098,0.33522415090952695
operating_ratio_pct,long,2023,2023-24,fiscal_only,tree,103,819,,6.5775732060844225,8.672050875260249,0.3041046315332162
operating_ratio_pct,long,2023,2023-24,fiscal_plus_fire,ridge,103,819,100.0,6.365080220625408,8.482095296417475,0.3342570027601528
operating_ratio_pct,long,2023,2023-24,fiscal_plus_fire,tree,103,819,,6.5775732060844225,8.672050875260249,0.3041046315332162
operating_ratio_pct,long,2023,2023-24,fiscal_plus_disaster,ridge,103,819,100.0,6.374401758012206,8.461610593629917,0.3374687279910027
operating_ratio_pct,long,2023,2023-24,fiscal_plus_disaster,tree,103,819,,6.557602529955854,8.663194613453104,0.3055252607912905
operating_ratio_pct,short_2017_onward,2021,2021-22,baseline,persistence,103,102,,5.9650485436893215,7.910128200942119,0.2190634110066244
operating_ratio_pct,short_2017_onward,2021,2021-22,baseline,training_mean,103,102,,6.745800494955265,9.064101792854096,-0.025411715427775317
operating_ratio_pct,short_2017_onward,2021,2021-22,fiscal_only,ridge,103,102,10.0,6.172561588718812,8.600261532357987,0.076850490649634
operating_ratio_pct,short_2017_onward,2021,2021-22,fiscal_only,tree,103,102,,6.861614886731392,8.761317978215235,0.0419512424665639
operating_ratio_pct,short_2017_onward,2021,2021-22,fiscal_plus_fire,ridge,103,102,10.0,6.167690516262428,8.629665632038101,0.07052724498988738
operating_ratio_pct,short_2017_onward,2021,2021-22,fiscal_plus_fire,tree,103,102,,6.861614886731392,8.761317978215235,0.04195124246656379
operating_ratio_pct,short_2017_onward,2021,2021-22,fiscal_plus_disaster,ridge,103,102,10.0,6.510850337879392,8.92933101197608,0.004854526401330772
operating_ratio_pct,short_2017_onward,2021,2021-22,fiscal_plus_disaster,tree,103,102,,6.861614886731392,8.761317978215235,0.0419512424665639
operating_ratio_pct,short_2017_onward,2022,2022-23,baseline,persistence,101,204,,7.780396039603957,9.924407257158514,-0.10693830623779776
operating_ratio_pct,short_2017_onward,2022,2022-23,baseline,training_mean,101,204,,8.331281304601049,10.52115427318916,-0.2440591763008002
operating_ratio_pct,short_2017_onward,2022,2022-23,fiscal_only,ridge,101,204,10.0,8.489685276005856,10.591647998417978,-0.2607858892228643
operating_ratio_pct,short_2017_onward,2022,2022-23,fiscal_only,tree,101,204,,8.607655100933654,10.42779526382909,-0.22207892027484233
operating_ratio_pct,short_2017_onward,2022,2022-23,fiscal_plus_fire,ridge,101,204,10.0,8.561569501900959,10.688290942721887,-0.28389880791648325
operating_ratio_pct,short_2017_onward,2022,2022-23,fiscal_plus_fire,tree,101,204,,8.607655100933654,10.427795263829088,-0.2220789202748421
operating_ratio_pct,short_2017_onward,2022,2022-23,fiscal_plus_disaster,ridge,101,204,10.0,8.821427466884195,11.030468071695902,-0.36742068497052216
operating_ratio_pct,short_2017_onward,2022,2022-23,fiscal_plus_disaster,tree,101,204,,8.607655100933654,10.427795263829088,-0.22207892027484188
operating_ratio_pct,short_2017_onward,2023,2023-24,baseline,persistence,103,307,,6.436019417475728,8.209504259952286,0.3763596923408772
operating_ratio_pct,short_2017_onward,2023,2023-24,baseline,training_mean,103,307,,7.611960722304798,10.402008624167173,-0.0012320219963406487
operating_ratio_pct,short_2017_onward,2023,2023-24,fiscal_only,ridge,103,307,100.0,6.30119269206386,8.353601725436896,0.35427463989128927
operating_ratio_pct,short_2017_onward,2023,2023-24,fiscal_only,tree,103,307,,6.204020774329014,8.290530490293309,0.3639885214773305
operating_ratio_pct,short_2017_onward,2023,2023-24,fiscal_plus_fire,ridge,103,307,100.0,6.300692307053398,8.354817919228507,0.3540866049891185
operating_ratio_pct,short_2017_onward,2023,2023-24,fiscal_plus_fire,tree,103,307,,6.204020774329014,8.290530490293309,0.3639885214773305
operating_ratio_pct,short_2017_onward,2023,2023-24,fiscal_plus_disaster,ridge,103,307,100.0,6.293385582067595,8.354344247559633,0.35415984230101816
operating_ratio_pct,short_2017_onward,2023,2023-24,fiscal_plus_disaster,tree,103,307,,6.204020774329014,8.290530490293309,0.3639885214773305
cash_cover_months,long,2017,2017-18,baseline,persistence,102,103,,2.8540196078431364,3.793140739106139,0.5460396264246913
cash_cover_months,long,2017,2017-18,baseline,training_mean,102,103,,4.602745098039215,5.79590207578954,-0.05989320895696704
cash_cover_months,long,2017,2017-18,fiscal_only,ridge,102,103,10.0,2.6044543382753838,3.4878216933609942,0.6161791348112062
cash_cover_months,long,2017,2017-18,fiscal_only,tree,102,103,,2.791463844797178,3.703387737830282,0.567268610244488
cash_cover_months,long,2017,2017-18,fiscal_plus_fire,ridge,102,103,10.0,2.6263678131078825,3.5058109252844685,0.6122096379159871
cash_cover_months,long,2017,2017-18,fiscal_plus_fire,tree,102,103,,2.7914638447971774,3.703387737830282,0.567268610244488
cash_cover_months,long,2017,2017-18,fiscal_plus_disaster,ridge,102,103,10.0,2.7691894124171763,3.545084091727908,0.6034726809315227
cash_cover_months,long,2017,2017-18,fiscal_plus_disaster,tree,102,103,,2.7914638447971787,3.703387737830283,0.5672686102444879
cash_cover_months,long,2018,2018-19,baseline,persistence,103,205,,2.6680631067961165,3.910546391304377,0.5971125161684219
cash_cover_months,long,2018,2018-19,baseline,training_mean,103,205,,4.717449997632015,6.194226011303501,-0.010841320081076855
cash_cover_months,long,2018,2018-19,fiscal_only,ridge,103,205,10.0,3.08566939196562,4.2129387836262735,0.532394954809567
cash_cover_months,long,2018,2018-19,fiscal_only,tree,103,205,,2.973351386921879,4.448034787049077,0.4787509922579307
cash_cover_months,long,2018,2018-19,fiscal_plus_fire,ridge,103,205,10.0,3.050086419958279,4.176858449559764,0.5403699587417408
cash_cover_months,long,2018,2018-19,fiscal_plus_fire,tree,103,205,,2.973351386921879,4.448034787049076,0.47875099225793094
