target,history,spec,model,n,MAE,RMSE,R2,folds,macro_MAE,macro_RMSE,macro_R2,MAE_years_won,RMSE_years_won,both_years_won,persistence_MAE,persistence_RMSE,consistent_vs_persistence
cash_cover_months,short_2017_onward,fiscal_plus_fire,ridge,307,3.952949899835654,5.662700144906258,0.43576565837894843,3,3.9517939533043656,5.628392486941375,0.44005213299571416,2,1,1,3.901848534201954,5.2761708914266086,False
cash_cover_months,short_2017_onward,fiscal_plus_fire,tree,307,4.298373287725395,5.909738110184824,0.38546183917946286,3,4.29685734541432,5.894995342320795,0.388000740507187,0,0,0,3.901848534201954,5.2761708914266086,False
maintenance_ratio_pct,long,baseline,persistence,910,21.893799808343218,43.022931607220606,-0.5315836563874496,9,21.888994995864138,42.27659461706215,-0.8909685435191123,0,0,0,21.893799808343218,43.022931607220606,False
maintenance_ratio_pct,long,baseline,training_mean,910,19.5200666943148,34.82833017259329,-0.003704864284167053,9,19.517932187387462,33.877341001159074,-0.008806589992523348,7,7,7,21.893799808343218,43.022931607220606,True
maintenance_ratio_pct,long,fiscal_only,ridge,910,19.544158073385844,36.11910528015045,-0.07948022389867582,9,19.539318542876376,34.5790093024257,-0.0636458842221881,8,7,7,21.893799808343218,43.022931607220606,True
maintenance_ratio_pct,long,fiscal_only,tree,910,19.845047813154046,34.3271162763449,0.024975866687817483,9,19.833994941176563,33.331947546481665,0.023046314754516226,8,8,7,21.893799808343218,43.022931607220606,True
maintenance_ratio_pct,long,fiscal_plus_disaster,ridge,910,20.23338837400959,36.377227751966714,-0.09496420306348474,9,20.236400874686964,35.36473477216127,-0.1489966243588581,7,7,6,21.893799808343218,43.022931607220606,False
maintenance_ratio_pct,long,fiscal_plus_disaster,tree,910,19.845047813154046,34.3271162763449,0.024975866687817483,9,19.833994941176563,33.331947546481665,0.02304631475451613,8,8,7,21.893799808343218,43.022931607220606,True
maintenance_ratio_pct,long,fiscal_plus_fire,ridge,910,20.41901911223039,37.04002645518791,-0.13522853623548436,9,20.42424321486207,36.05780850805234,-0.24612697565066138,7,7,6,21.893799808343218,43.022931607220606,False
maintenance_ratio_pct,long,fiscal_plus_fire,tree,910,19.84504781315405,34.327116276344896,0.024975866687817705,9,19.83399494117657,33.331947546481665,0.023046314754516153,8,8,7,21.893799808343218,43.022931607220606,True
maintenance_ratio_pct,short_2017_onward,baseline,persistence,405,23.300583837464607,41.735103045121356,-0.6210761277964976,4,23.297618399924797,40.56245530925583,-0.8672012028678135,0,0,0,23.300583837464607,41.735103045121356,False
maintenance_ratio_pct,short_2017_onward,baseline,training_mean,405,22.708932969676336,32.90630180146172,-0.0077634037073850415,4,22.718209493949935,32.74937250480548,-0.009925073005235707,2,2,2,23.300583837464607,41.735103045121356,False
maintenance_ratio_pct,short_2017_onward,fiscal_only,ridge,405,23.074299778097302,35.7005327184605,-0.1861778865423167,4,23.08348230798845,35.52527169698079,-0.2509125721722054,3,2,2,23.300583837464607,41.735103045121356,False
maintenance_ratio_pct,short_2017_onward,fiscal_only,tree,405,21.825684127553746,31.42561455189026,0.08088894689055626,4,21.836028631031624,31.27501073424071,0.07762327069047101,3,4,3,23.300583837464607,41.735103045121356,True
maintenance_ratio_pct,short_2017_onward,fiscal_plus_disaster,ridge,405,23.03742353310176,35.4174503919364,-0.16744120747689095,4,23.045635373659877,35.2843428015067,-0.23097001757990868,3,2,2,23.300583837464607,41.735103045121356,False
