council_key,year_start,_merge
lakemacquarie,2020,both
lakemacquarie,2021,both
lakemacquarie,2022,both
lakemacquarie,2023,both
lakemacquarie,2024,both
lanecove,2012,both
lanecove,2013,both
lanecove,2014,both
lanecove,2015,both
lanecove,2016,both
lanecove,2017,both
lanecove,2018,both
lanecove,2019,both
lanecove,2020,both
lanecove,2021,both
lanecove,2022,both
lanecove,2023,both
lanecove,2024,both
leeton,2012,both
leeton,2013,both
leeton,2014,both
leeton,2015,both
leeton,2016,both
leeton,2017,both
leeton,2018,both
leeton,2019,both
leeton,2020,both
leeton,2021,both
leeton,2022,both
leeton,2023,both
leeton,2024,both
lismore,2012,both
lismore,2013,both
lismore,2014,both
lismore,2015,both
lismore,2016,both
lismore,2017,both
lismore,2018,both
lismore,2019,both
lismore,2020,both
lismore,2021,both
lismore,2022,both
lismore,2023,both
lismore,2024,both
lithgow,2012,both
lithgow,2013,both
lithgow,2014,both
lithgow,2015,both
lithgow,2016,both
lithgow,2017,both
lithgow,2018,both
lithgow,2019,both
lithgow,2020,both
lithgow,2021,both
lithgow,2022,both
lithgow,2023,both
lithgow,2024,both
liverpool,2012,both
liverpool,2013,both
liverpool,2014,both
liverpool,2015,both
liverpool,2016,both
liverpool,2017,both
liverpool,2018,both
liverpool,2019,both
liverpool,2020,both
liverpool,2021,both
liverpool,2022,both
liverpool,2023,both
liverpool,2024,both
liverpoolplains,2012,both
liverpoolplains,2013,both
liverpoolplains,2014,both
liverpoolplains,2015,both
liverpoolplains,2016,both
liverpoolplains,2017,both
liverpoolplains,2018,both
liverpoolplains,2019,both
liverpoolplains,2020,both
liverpoolplains,2021,both
liverpoolplains,2022,both
liverpoolplains,2023,both
liverpoolplains,2024,both
lockhart,2012,both
lockhart,2013,both
lockhart,2014,both
lockhart,2015,both
lockhart,2016,both
lockhart,2017,both
lockhart,2018,both
lockhart,2019,both
lockhart,2020,both
lockhart,2021,both
lockhart,2022,both
lockhart,2023,both
lockhart,2024,both
maitland,2012,both
maitland,2013,both
maitland,2014,both
maitland,2015,both
maitland,2016,both
maitland,2017,both
maitland,2018,both
maitland,2019,both
maitland,2020,both
maitland,2021,both
maitland,2022,both
maitland,2023,both
maitland,2024,both
midwestern,2012,both
midwestern,2013,both
midwestern,2014,both
midwestern,2015,both
midwestern,2016,both
midwestern,2017,both
midwestern,2018,both
midwestern,2019,both
midwestern,2020,both
midwestern,2021,both
midwestern,2022,both
midwestern,2023,both
midwestern,2024,both
moreeplains,2012,both
moreeplains,2013,both
moreeplains,2014,both
moreeplains,2015,both
moreeplains,2016,both
moreeplains,2017,both
moreeplains,2018,both
moreeplains,2019,both
moreeplains,2020,both
moreeplains,2021,both
moreeplains,2022,both
moreeplains,2023,both
moreeplains,2024,both
mosman,2012,both
mosman,2013,both
mosman,2014,both
mosman,2015,both
mosman,2016,both
mosman,2017,both
mosman,2018,both
mosman,2019,both
mosman,2020,both
mosman,2021,both
mosman,2022,both
mosman,2023,both
mosman,2024,both
muswellbrook,2012,both
muswellbrook,2013,both
muswellbrook,2014,both
muswellbrook,2015,both
muswellbrook,2016,both
muswellbrook,2017,both
muswellbrook,2018,both
muswellbrook,2019,both
muswellbrook,2020,both
muswellbrook,2021,both
muswellbrook,2022,both
muswellbrook,2023,both
muswellbrook,2024,both
nambuccavalley,2012,both
nambuccavalley,2013,both
nambuccavalley,2014,both
nambuccavalley,2015,both
nambuccavalley,2016,both
nambuccavalley,2017,both
nambuccavalley,2018,both
nambuccavalley,2019,both
nambuccavalley,2020,both
nambuccavalley,2021,both
nambuccavalley,2022,both
nambuccavalley,2023,both
nambuccavalley,2024,both
narrabri,2012,both
narrabri,2013,both
narrabri,2014,both
narrabri,2015,both
narrabri,2016,both
narrabri,2017,both
narrabri,2018,both
narrabri,2019,both
narrabri,2020,both
narrabri,2021,both
narrabri,2022,both
narrabri,2023,both
narrabri,2024,both
narrandera,2012,both
narrandera,2013,both
narrandera,2014,both
narrandera,2015,both
narrandera,2016,both
narrandera,2017,both
narrandera,2018,both
narrandera,2019,both
narrandera,2020,both
narrandera,2021,both
narrandera,2022,both
narrandera,2023,both
narrandera,2024,both
narromine,2012,both
narromine,2013,both
narromine,2014,both
narromine,2015,both
narromine,2016,both
narromine,2017,both
narromine,2018,both
narromine,2019,both
narromine,2020,both
narromine,2021,both
narromine,2022,both
narromine,2023,both
narromine,2024,both
newcastle,2012,both
newcastle,2013,both
newcastle,2014,both
newcastle,2015,both
newcastle,2016,both
newcastle,2017,both
newcastle,2018,both
newcastle,2019,both
newcastle,2020,both
newcastle,2021,both
newcastle,2022,both
newcastle,2023,both
newcastle,2024,both
northsydney,2012,both
northsydney,2013,both
northsydney,2014,both
northsydney,2015,both
northsydney,2016,both
northsydney,2017,both
northsydney,2018,both
northsydney,2019,both
northsydney,2020,both
northsydney,2021,both
northsydney,2022,both
northsydney,2023,both
northsydney,2024,both
oberon,2012,both
oberon,2013,both
oberon,2014,both
oberon,2015,both
oberon,2016,both
oberon,2017,both
oberon,2018,both
oberon,2019,both
oberon,2020,both
oberon,2021,both
oberon,2022,both
oberon,2023,both
oberon,2024,both
orange,2012,both
orange,2013,both
orange,2014,both
orange,2015,both
orange,2016,both
orange,2017,both
orange,2018,both
orange,2019,both
orange,2020,both
orange,2021,both
orange,2022,both
orange,2023,both
orange,2024,both
parkes,2012,both
parkes,2013,both
parkes,2014,both
parkes,2015,both
parkes,2016,both
parkes,2017,both
parkes,2018,both
parkes,2019,both
parkes,2020,both
parkes,2021,both
parkes,2022,both
parkes,2023,both
parkes,2024,both
penrith,2012,both
penrith,2013,both
penrith,2014,both
penrith,2015,both
penrith,2016,both
penrith,2017,both
penrith,2018,both
penrith,2019,both
penrith,2020,both
penrith,2021,both
penrith,2022,both
penrith,2023,both
penrith,2024,both
portmacquariehastings,2012,both
portmacquariehastings,2013,both
portmacquariehastings,2014,both
portmacquariehastings,2015,both
portmacquariehastings,2016,both
portmacquariehastings,2017,both
portmacquariehastings,2018,both
portmacquariehastings,2019,both
portmacquariehastings,2020,both
portmacquariehastings,2021,both
portmacquariehastings,2022,both
portmacquariehastings,2023,both
portmacquariehastings,2024,both
portstephens,2012,both
portstephens,2013,both
portstephens,2014,both
portstephens,2015,both
portstephens,2016,both
portstephens,2017,both
portstephens,2018,both
portstephens,2019,both
portstephens,2020,both
portstephens,2021,both
portstephens,2022,both
portstephens,2023,both
portstephens,2024,both
randwick,2012,both
randwick,2013,both
randwick,2014,both
randwick,2015,both
randwick,2016,both
randwick,2017,both
randwick,2018,both
randwick,2019,both
randwick,2020,both
randwick,2021,both
randwick,2022,both
randwick,2023,both
randwick,2024,both
richmondvalley,2012,both
richmondvalley,2013,both
richmondvalley,2014,both
richmondvalley,2015,both
richmondvalley,2016,both
richmondvalley,2017,both
richmondvalley,2018,both
richmondvalley,2019,both
richmondvalley,2020,both
richmondvalley,2021,both
richmondvalley,2022,both
richmondvalley,2023,both
richmondvalley,2024,both
ryde,2012,both
ryde,2013,both
ryde,2014,both
ryde,2015,both
ryde,2016,both
ryde,2017,both
ryde,2018,both
ryde,2019,both
ryde,2020,both
ryde,2021,both
ryde,2022,both
ryde,2023,both
ryde,2024,both
shellharbour,2012,both
shellharbour,2013,both
shellharbour,2014,both
shellharbour,2015,both
shellharbour,2016,both
shellharbour,2017,both
shellharbour,2018,both
shellharbour,2019,both
shellharbour,2020,both
shellharbour,2021,both
shellharbour,2022,both
shellharbour,2023,both
shellharbour,2024,both
shoalhaven,2012,both
shoalhaven,2013,both
shoalhaven,2014,both
shoalhaven,2015,both
shoalhaven,2016,both
shoalhaven,2017,both
shoalhaven,2018,both
shoalhaven,2019,both
shoalhaven,2020,both
shoalhaven,2021,both
shoalhaven,2022,both
shoalhaven,2023,both
shoalhaven,2024,both
singleton,2012,both
singleton,2013,both
singleton,2014,both
singleton,2015,both
singleton,2016,both
singleton,2017,both
singleton,2018,both
singleton,2019,both
singleton,2020,both
singleton,2021,both
singleton,2022,both
singleton,2023,both
singleton,2024,both
strathfield,2012,both
strathfield,2013,both
strathfield,2014,both
strathfield,2015,both
strathfield,2016,both
strathfield,2017,both
strathfield,2018,both
strathfield,2019,both
strathfield,2020,both
strathfield,2021,both
strathfield,2022,both
strathfield,2023,both
strathfield,2024,both
sutherland,2012,both
sutherland,2013,both
sutherland,2014,both
sutherland,2015,both
sutherland,2016,both
sutherland,2017,both
sutherland,2018,both
sutherland,2019,both
sutherland,2020,both
sutherland,2021,both
sutherland,2022,both
sutherland,2023,both
sutherland,2024,both
sydney,2012,both
sydney,2013,both
sydney,2014,both
