target,history,test_year,model,augmented,reference,n,MAE_improvement,RMSE_improvement,R2_improvement
maintenance_ratio_pct,long,2020,ridge,fiscal_plus_fire,fiscal_only,100,-8.25678252881239,-14.802889432037972,-1.7600806076776192
maintenance_ratio_pct,long,2020,ridge,fiscal_plus_disaster,fiscal_only,100,-5.961751372549685,-8.896020239828786,-0.9344519864265654
maintenance_ratio_pct,long,2020,ridge,fiscal_plus_disaster,fiscal_plus_fire,100,2.2950311562627057,5.906869192209186,0.825628621251054
maintenance_ratio_pct,long,2020,tree,fiscal_plus_fire,fiscal_only,100,-1.7763568394002505e-15,-7.105427357601002e-15,-4.440892098500626e-16
maintenance_ratio_pct,long,2020,tree,fiscal_plus_disaster,fiscal_only,100,1.7763568394002505e-15,0.0,0.0
maintenance_ratio_pct,long,2020,tree,fiscal_plus_disaster,fiscal_plus_fire,100,3.552713678800501e-15,7.105427357601002e-15,4.440892098500626e-16
maintenance_ratio_pct,long,2021,ridge,fiscal_plus_fire,fiscal_only,102,-0.04404985992831101,0.092776785153454,0.006892892936183781
maintenance_ratio_pct,long,2021,ridge,fiscal_plus_disaster,fiscal_only,102,-0.15922691923348964,0.04788772219543702,0.0035607667922397113
maintenance_ratio_pct,long,2021,ridge,fiscal_plus_disaster,fiscal_plus_fire,102,-0.11517705930517863,-0.04488906295801698,-0.0033321261439440697
maintenance_ratio_pct,long,2021,tree,fiscal_plus_fire,fiscal_only,102,-7.105427357601002e-15,0.0,0.0
maintenance_ratio_pct,long,2021,tree,fiscal_plus_disaster,fiscal_only,102,2.842170943040401e-14,-7.105427357601002e-15,-2.220446049250313e-16
maintenance_ratio_pct,long,2021,tree,fiscal_plus_disaster,fiscal_plus_fire,102,3.552713678800501e-14,-7.105427357601002e-15,-2.220446049250313e-16
maintenance_ratio_pct,long,2022,ridge,fiscal_plus_fire,fiscal_only,100,0.0030593632427589057,0.004499967008712247,0.0002582728650031285
maintenance_ratio_pct,long,2022,ridge,fiscal_plus_disaster,fiscal_only,100,0.09373550795083574,0.1646910887047639,0.009431257110259939
maintenance_ratio_pct,long,2022,ridge,fiscal_plus_disaster,fiscal_plus_fire,100,0.09067614470807683,0.16019112169605165,0.00917298424525681
maintenance_ratio_pct,long,2022,tree,fiscal_plus_fire,fiscal_only,100,-7.105427357601002e-15,7.105427357601002e-15,2.220446049250313e-16
maintenance_ratio_pct,long,2022,tree,fiscal_plus_disaster,fiscal_only,100,-7.105427357601002e-15,-7.105427357601002e-15,-8.881784197001252e-16
