file,sha256,bytes
sources/lismore_oc_08022022_att_excluded_direct_ocr_p105.txt,3ec3537caa0ffbde1433c58869134349e84b0f6e15af226efcaf645877bbe5ae,1198
sources/lismore_oc_08022022_att_excluded_direct_ocr_p106.txt,007258723ab5e3c1e621a51f9f16ed5112ed75ef524ad079f12a7c533d31a396,2855
sources/lismore_oc_08022022_att_excluded_direct_ocr_p107.txt,b04f69d99b97762d2d497b0a116c01cb25f2fc3041898fc606524d2e347b6494,1618
sources/lismore_oc_08022022_att_excluded_direct_ocr_p108.txt,8d893de4ce8be1c36e0c532909557ec4d0eca6624b26743a386ae5feda545b87,898
sources/lismore_oc_08022022_att_excluded_direct_ocr_p109.txt,caaa2737941b380a5f7cb9546921a12aa2a10c5455450ede73dab6ac9249fb29,2171
sources/lismore_oc_08022022_att_excluded_direct_ocr_p110.txt,9f18c9e5da4ad4e56693216c637bba54718fc0dd00f8ed6e8fb61b10db00bdd8,2690
sources/lismore_oc_08022022_att_excluded_direct_ocr_p111.txt,54118501e0ef83c359d998cb37523d935bd200f8f6bd8c423ae2abf4a1652710,789
sources/lismore_oc_08022022_att_excluded_direct_ocr_p112.txt,18b4698e839d042a18727f4c8d194c73db1b980bc7d09fe8abcfde72e2489254,2176
sources/lismore_oc_08022022_att_excluded_direct_ocr_p113.txt,3c93bcf3076df427c695463293461ba39999c6773d087b2b8b018ff63bc9efbb,2224
sources/lismore_oc_08022022_att_excluded_direct_ocr_p114.txt,1d65b82b91e8ea1a947ce7a079284973d0ad8020b476e1fd22aca660abd260cc,1295
sources/lismore_oc_08022022_att_excluded_direct_ocr_p115.txt,4837dec2d4d479ed296f55d2eb09930c5970a24b01f61356472e68a1f9d1abfd,988
sources/lismore_oc_08022022_att_excluded_direct_ocr_p116.txt,ff01625a90923d16080159044cbb83510ae43fbb41616077516a854f22db8821,1098
sources/lismore_oc_08022022_att_excluded_direct_ocr_p117.txt,9880fba01e13aacadd006a05aed22dea65160636065d95e41d6d04e141785a99,708
sources/lismore_oc_08022022_att_excluded_direct_ocr_p93.txt,1acd1fb284ea96324dac20c21877ae95a5f7c4467ac80a86d3efd51b5a5e11e5,837
sources/lismore_oc_08022022_att_excluded_direct_ocr_p94.txt,e65642fb3e6ae0a8f2b8d28a34d04303a264e2f6b90f48e455d75e2998fac76a,2047
sources/lismore_oc_08022022_att_excluded_direct_ocr_p95.txt,43b025338996f690afc7e2d07c548d13cfdcf7697c07d9100731b6e8331f9d37,2596
sources/lismore_oc_08022022_att_excluded_direct_ocr_p96.txt,ef3ff17dd8ba4051dc523cc289b37fa2f1aecf7fa2c1d8c69db3fe97d0d92625,2304
sources/lismore_oc_08022022_att_excluded_direct_ocr_p97.txt,026f922ed9465a25748bec3a4ef242e0e830bc913bae707d30346ef9b55bf9cd,1945
sources/lismore_oc_08022022_att_excluded_direct_ocr_p98.txt,e9e8378df17b8e0eeb3fe11660075787542b26a4532f57f1112a88a7e08ab311,2022
sources/lismore_oc_08022022_att_excluded_direct_ocr_p99.txt,37ebf6963feb3af5c389448b2e03fe8c107fb5a56943463b7b74bc957717c92e,1970
sources/lismore_oc_08022022_min.pdf,aeffd0b19445606c9ed199c3ed207d8953c45f45a82d552c63bd9aba0116af7e,341053
sources/lismore_oc_08022022_min.txt,9d1dc3ac654a2eb9390a47436c71caf5ca145dbb30929c63aa51035801ceee3a,51832
sources/lismore_oc_09082022_agn_at.html,64b0077276ad99f29bd7850b21ae57801083dc2ee76498f50616f1f27fad3670,1570
sources/lismore_oc_09082022_agn_at.txt,72fbd62614a4629c076f9a613dca67e88a03a7c458903d8faaf116eceb32a17b,837
sources/lismore_oc_09082022_agn_at_direct.pdf,6f26f9b39e00b392ac10ebb2ab769ac1a34e4ae6edcf43cc3a2f62b875d4b23a,9239229
sources/lismore_oc_09082022_agn_at_direct.txt,6ec189b77cd85ff3eecea0adb6ad72cf1c0d57cefdbe6fd8addef6950dfe0747,297391
sources/lismore_oc_09082022_agn_at_links.json,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,2
sources/lismore_oc_09082022_att_excluded.html,64b0077276ad99f29bd7850b21ae57801083dc2ee76498f50616f1f27fad3670,1570
sources/lismore_oc_09082022_att_excluded.txt,72fbd62614a4629c076f9a613dca67e88a03a7c458903d8faaf116eceb32a17b,837
sources/lismore_oc_09082022_att_excluded_direct.pdf,177b4c65d99609fed3992112b5653984015e755b3053876488333c1bc32dc227,23648799
sources/lismore_oc_09082022_att_excluded_direct.txt,a16ae3dbbe6492d13231ebf38838255e5eab5859c69ea0a649ca15b0156e94a4,70597
sources/lismore_oc_09082022_att_excluded_links.json,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,2
sources/lismore_oc_09082022_min.html,64b0077276ad99f29bd7850b21ae57801083dc2ee76498f50616f1f27fad3670,1570
