council,fy_end,actual_maintenance,required_maintenance,maintenance_ratio_raw,backlog_ratio,cash_cover,population_as_published,operating_ratio_raw,unrestricted_current_ratio,maintenance_ratio_recomputed,maintenance_zero_denominator,maintenance_scale_expected,maintenance_ratio_normalized,ratio_discrepancy
Parkes,2019,6351000.0,6020000.0,105.5,1.5,6.95,14894,-12.02,2.69,1.054983388704319,False,100,1.055,1.661129568097941e-05
Parramatta (new),2019,50091000.0,50166000.0,99.85,1.73,12.41,251311,-3.7,6.73,0.99850496352111,False,100,0.9984999999999999,-4.9635211100129695e-06
Penrith,2019,31724000.0,32277000.0,98.29,1.67,8.32,209210,5.8,3.07,0.982867057037519,False,100,0.9829000000000001,3.29429624811306e-05
Port Macquarie-Hastings,2019,22103000.0,22103000.0,100.0,6.66,28.42,83131,5.14,1.74,1.0,False,100,1.0,0.0
Port Stephens,2019,14851000.0,14994000.0,99.05,1.8,5.22,72695,2.61,1.11,0.9904628518073896,False,100,0.9904999999999999,3.7148192610358954e-05
Queanbeyan-Palerang Regional,2019,13821000.0,15980000.0,86.49,3.18,14.3,59959,5.38,1.34,0.8648936170212767,False,100,0.8649,6.3829787233515844e-06
Randwick,2019,12117000.0,7039000.0,172.14,0.52,3.33,154265,5.51,4.07,1.7214092910924848,False,100,1.7213999999999998,-9.291092484930985e-06
Richmond Valley,2019,5191000.0,4847000.0,107.1,1.73,9.08,23399,-4.69,3.05,1.0709717350938726,False,100,1.071,2.8264906127395406e-05
Ryde,2019,19703000.0,19197000.0,102.64,1.59,16.8,127446,10.39,2.9,1.0263582851487212,False,100,1.0264,4.1714851278795706e-05
Shellharbour,2019,13103000.0,12446000.0,105.28,1.93,8.8,72240,19.25,1.86,1.052788044351599,False,100,1.0528,1.1955648401063002e-05
Shoalhaven,2019,60680000.0,68530000.0,88.55,3.03,9.3,104371,2.6,2.54,0.8854516270246607,False,100,0.8855,4.837297533921703e-05
Singleton,2019,12043000.0,15106000.0,79.72,3.71,19.83,23422,4.66,5.45,0.7972328875943334,False,100,0.7972,-3.2887594333397274e-05
Snowy Monaro Regional,2019,9306000.0,12186000.0,76.37,6.16,16.14,20733,-6.5,4.05,0.7636632200886263,False,100,0.7637,3.6779911373741037e-05
Snowy Valleys,2019,3755000.0,3755000.0,100.0,0.05,13.84,14532,1.84,3.83,1.0,False,100,1.0,0.0
Strathfield,2019,7521000.0,7506000.0,100.2,0.25,15.1,45143,6.8,3.24,1.0019984012789769,False,100,1.002,1.5987210231216409e-06
Sutherland,2019,25831000.0,25958000.0,99.51,1.75,8.74,229213,2.86,3.41,0.9951074813159719,False,100,0.9951000000000001,-7.481315971835656e-06
Sydney,2019,60249121.25,60292473.57,99.93,1.98,8.51,240229,-4.16,3.15,0.9992809663058579,False,100,0.9993000000000001,1.9033694142134294e-05
Tamworth Regional,2019,27095000.0,30305000.0,89.41,0.55,15.01,62156,7.25,2.43,0.8940768850024748,False,100,0.8941,2.3114997525164327e-05
Temora,2019,4083000.0,2827000.0,144.43,3.56,6.46,6274,-0.64,2.49,1.4442872302794483,False,100,1.4443000000000001,1.2769720551863983e-05
Tenterfield,2019,7821000.0,7820000.0,100.01,4.58,12.26,6638,2.96,4.24,1.0001278772378517,False,100,1.0001,-2.787723785169227e-05
Tweed,2019,24575000.0,26896000.0,91.37,1.63,23.43,96108,11.2,3.42,0.9137046400951815,False,100,0.9137000000000001,-4.640095181418502e-06
Upper Hunter,2019,8210000.0,8021000.0,102.36,1.21,6.91,14220,-4.04,0.86,1.023563146739808,False,100,1.0236,3.685326019198243e-05
Upper Lachlan,2019,8055000.0,7656000.0,105.21,0.58,15.32,7961,1.51,5.13,1.052115987460815,False,100,1.0521,-1.598746081499236e-05
Uralla,2019,3942000.0,4359000.0,90.43,1.34,11.5,6062,-0.87,2.94,0.9043358568479009,False,100,0.9043000000000001,-3.585684790075039e-05
Wagga Wagga,2019,15293000.0,24322000.0,62.88,20.32,8.79,64820,-5.59,2.88,0.6287723049091357,False,100,0.6288,2.7695090864310323e-05
Walcha,2019,2932000.0,2807000.0,104.45,4.67,7.25,3132,-4.41,3.96,1.044531528322052,False,100,1.0445,-3.152832205199907e-05
Walgett,2019,6998000.0,6347000.0,110.26,6.42,19.1,6051,-3.58,3.22,1.1025681424294942,False,100,1.1026,3.1857570505833266e-05
Warren,2019,3790000.0,2340000.0,161.97,0.81,11.67,2745,16.31,5.9,1.6196581196581197,False,100,1.6197,4.188034188024048e-05
Warrumbungle,2019,6520000.0,6186000.0,105.4,0.66,6.97,9399,-16.38,4.37,1.0539928871645652,False,100,1.054,7.11283543486374e-06
Waverley,2019,20101000.0,19643000.0,102.33,1.01,15.22,74114,0.78,11.13,1.0233161940640432,False,100,1.0232999999999999,-1.6194064043295597e-05
Weddin,2019,2649000.0,1525000.0,173.7,1.65,9.12,3636,-4.03,5.38,1.737049180327869,False,100,1.7369999999999999,-4.918032786904725e-05
Wentworth,2019,3570000.0,3631000.0,98.32,5.59,17.86,7042,-6.83,7.19,0.9832002203249793,False,100,0.9832,-2.2032497937196638e-07
Willoughby,2019,13879000.0,13878000.0,100.01,1.27,17.67,80339,6.22,4.76,1.00007205649229,False,100,1.0001,2.7943507709959903e-05
Wingecarribee,2019,17255000.0,17606000.0,98.01,1.54,22.85,50493,6.07,5.39,0.9800636146768147,False,100,0.9801000000000001,3.6385323185395e-05
Wollondilly,2019,25918000.0,15168000.0,170.87,10.71,12.5,52230,6.6,2.25,1.7087289029535866,False,100,1.7087,-2.890295358648487e-05
